순위,영화명,개봉일,매출액,관객수,스크린수
304,담보,2020-09-29,"14,749,476,550","1,719,592","1,342"
305,평양성,2011-01-27,"12,684,530,500","1,717,566",451
306,파파로티,2013-03-14,"11,825,934,000","1,716,429",552
307,쎄시봉,2015-02-05,"13,570,381,911","1,714,803",829
308,밀양,2007-05-23,0,"1,710,364", 83
309,님은 먼 곳에,2008-07-24,"11,211,235,000","1,706,576",499
310,품행제로,2002-12-26,0,"1,694,637", 29
311,조폭마누라3,2006-12-28,0,"1,690,465", 71
312,불꽃처럼 나비처럼,2009-09-24,"12,447,633,504","1,690,294",437
313,알포인트,2004-08-20,0,"1,689,000", 42
314,피끓는 청춘,2014-01-22,"11,688,382,888","1,676,040",679
315,PMC: 더 벙커,2018-12-26,"14,024,838,424","1,671,548","1,081"
316,공모자들,2012-08-29,"12,240,964,500","1,646,142",496
317,그대를 사랑합니다,2011-02-17,"12,040,035,000","1,645,126",242
318,인질,2021-08-18,"15,585,244,870","1,638,439","1,288"
319,임금님의 사건수첩,2017-04-26,"12,648,793,723","1,634,403","1,054"
320,고死 : 피의 중간고사,2008-08-07,"10,299,976,000","1,634,051",270
321,걸캅스,2019-05-09,"13,807,476,134","1,628,963",973
322,두근두근 내 인생,2014-09-03,"12,291,081,634","1,624,601",629
323,권순분여사 납치사건,2007-09-12,0,"1,619,190", 86
324,우아한 거짓말,2014-03-13,"11,727,360,300","1,618,988",555
325,무방비도시,2008-01-10,"10,591,349,944","1,613,728",336
326,하울링,2012-02-16,"11,765,293,500","1,612,554",550
327,복면달호,2007-02-14,0,"1,611,192", 64
328,사자,2019-07-31,"12,917,306,145","1,609,737","1,405"
329,신라의 달밤,2001-06-23,0," 1,608,211",0
330,가문의 영광,2002-09-12,," 1,605,775", 45
331,창궐,2018-10-25,"13,275,772,490","1,599,290","1,351"
332,더 폰,2015-10-22,"12,309,164,568","1,593,694",794
333,성난황소,2018-11-22,"13,236,490,737","1,593,386","1,010"
334,간 큰 가족,2005-06-09,0,"1,593,038", 75
335,집으로...,2002-04-04,," 1,576,943", 32
336,와일드 카드,2003-05-16,0,"1,571,931", 47
337,삼진그룹 영어토익반,2020-10-21,"13,985,885,870","1,571,774","1,615"
338,무적자,2010-09-16,"11,816,488,677","1,571,432",416
339,원스어폰어타임,2008-01-31,"10,180,143,111","1,562,486",315
340,야수와 미녀,2005-10-27,0,"1,561,282", 54
341,도어락,2018-12-05,"12,803,157,486","1,561,258",954
342,마파도2,2007-01-18,0,"1,560,297", 66
343,용의자X,2012-10-18,"11,241,013,000","1,552,055",553
344,도굴,2020-11-04,"13,960,989,670","1,545,281","1,635"
345,클래식,2003-01-30,,"1,545,107", 49
346,해바라기,2006-11-23,0,"1,543,429", 64
347,외계+인 1부,2022-07-20,"15,987,992,548","1,538,518","1,959"
348,정직한 후보,2020-02-12,"12,834,858,530","1,535,630","1,187"
349,유감스러운 도시,2009-01-22,"10,300,187,478","1,534,911",375
350,작전,2009-02-12,"10,198,304,795","1,534,407",393
351,S 다이어리,2004-10-22,0,"1,531,840", 58
352,중천,2006-12-21,0,"1,531,220", 87
353,내사랑 싸가지,2004-01-16,0,"1,513,000", 33
354,퍼펙트 게임,2011-12-21,"11,220,408,500","1,507,084",413
355,리틀 포레스트,2018-02-28,"11,924,818,185","1,505,560",884
356,더 게임,2008-01-30,"9,869,346,557","1,496,214",339
357,부라더,2017-11-02,"11,783,109,998","1,492,903",889
358,B형 남자친구,2005-02-03,0,"1,485,454", 47
359,나의 특별한 형제,2019-05-01,"12,081,618,074","1,478,156",936
360,해무(海霧),2014-08-13,"11,706,502,519","1,475,472",584
361,차이나타운,2015-04-29,"11,989,400,678","1,472,006",551
362,스윙키즈,2018-12-19,"12,081,264,892","1,471,247",984
363,홀리데이,2006-01-19,0,"1,458,896", 42
364,각설탕,2006-08-10,0,"1,446,820", 65
365,인간중독,2014-05-14,"11,284,787,400","1,441,964",682
366,궁녀,2007-10-18,0,"1,438,531", 83
367,주홍글씨,2004-10-29,0,"1,437,549", 76
368,탐정 홍길동: 사라진 마을,2016-05-04,"11,514,389,845","1,430,666",764
369,보이스,2021-09-15,"14,025,546,720","1,426,357","1,296"
370,런닝맨,2013-04-04,"10,060,239,500","1,422,844",567
371,조폭마누라,2001-09-27,0," 1,419,972",0
372,검은 집,2007-06-21,0,"1,408,882", 71
373,구르믈 버서난 달처럼,2010-04-28,"10,408,565,262","1,407,681",509
374,허브,2007-01-11,0,"1,406,199", 57
375,똥개,2003-07-16,0,"1,394,000", 39
376,기억의 밤,2017-11-29,"10,652,346,660","1,387,599",751
377,골든슬럼버,2018-02-14,"11,412,768,798","1,387,508",833
378,역도산,2004-12-15,0,"1,386,179", 70
379,브이아이피,2017-08-23,"10,956,621,835","1,373,316",996
380,분홍신,2005-06-30,0,"1,371,122", 54
381,특별시민,2017-04-26,"10,494,768,945","1,362,634","1,154"
382,차형사,2012-05-30,"9,752,555,296","1,346,754",433
383,은교,2012-04-25,"9,917,728,000","1,346,274",521
384,궁합,2018-02-28,"10,478,875,438","1,340,117",966
385,해적: 도깨비 깃발,2022-01-26,"12,523,963,990","1,339,242","1,708"
386,미스터 고,2013-07-17,"9,337,990,000","1,328,890",840
387,청담보살,2009-11-11,"9,687,687,439","1,321,005",404
388,사라진 밤,2018-03-07,"10,697,981,316","1,315,726",925
389,싸움의 기술,2006-01-05,0,"1,313,727", 54
390,간첩,2012-09-20,"9,316,548,500","1,310,895",576
391,영화는 영화다,2008-09-11,"8,943,849,000","1,307,688",326
392,장산범,2017-08-17,"10,341,783,083","1,306,438",711
393,만남의 광장,2007-08-15,0,"1,306,434", 52
394,못말리는 결혼,2007-05-10,0,"1,304,431", 70
395,최강로맨스,2007-01-25,0,"1,299,274", 51
396,킹콩을 들다,2009-07-01,"8,597,263,166","1,277,800",411
397,"달마야, 서울 가자",2004-07-09,0,"1,272,000", 54
398,달콤한 인생,2005-04-01,0,"1,271,595", 82
399,클로젯,2020-02-05,"10,971,962,280","1,270,835","1,197"
400,황진이,2007-06-06,0,"1,270,644", 106
401,이장과 군수,2007-03-29,0,"1,269,142", 65
402,즐거운 인생,2007-09-13,0,"1,263,835", 82
403,미스터 소크라테스,2005-11-10,0,"1,261,965", 52
404,브로커,2022-06-08,"12,586,895,030","1,261,143","1,594"
405,달마야 놀자,2001-11-08,0," 1,253,075",0
406,간기남,2012-04-11,"9,356,404,500","1,246,185",356
407,유열의 음악앨범,2019-08-28,"10,233,455,040","1,245,532","1,078"
408,신부수업,2004-08-05,0,"1,242,476", 56
409,특별수사: 사형수의 편지,2016-06-16,"9,929,947,065","1,241,899",691
410,퍼펙트맨,2019-10-02,"10,311,352,770","1,240,022",894
411,행복,2007-10-03,0,"1,239,789", 89
412,육혈포 강도단,2010-03-18,"8,784,927,671","1,233,582",319
413,천군,2005-07-15,0,"1,232,992", 58
414,텔미썸딩,1999-11-13,0,"1,230,000",0
415,오케이 마담,2020-08-12,"10,979,887,910","1,228,685","1,288"
416,심야의 F.M.,2010-10-14,"9,328,562,568","1,228,673",422
417,두사부일체,2001-12-08,0," 1,228,142",0
418,해치지않아,2020-01-15,"10,282,332,090","1,224,726","1,216"
419,찌라시: 위험한 소문,2014-02-20,"9,111,648,087","1,221,420",560
420,결혼전야,2013-11-21,"8,444,337,719","1,214,836",524
421,깡철이,2013-10-02,"8,572,344,462","1,209,363",707
422,악녀,2017-06-08,"9,739,662,144","1,208,081",685
423,인사동 스캔들,2009-04-29,"7,900,084,842","1,206,101",314
424,해빙,2017-03-01,"9,905,406,822","1,204,600",915
425,그녀를 믿지 마세요,2004-02-20,0,"1,204,000", 43
426,형사 Duelist,2005-09-08,0,"1,203,146", 88
427,시간이탈자,2016-04-13,"9,731,838,195","1,202,384",733
428,R2B: 리턴투베이스,2012-08-15,"8,602,921,371","1,201,944",539
