순위,영화명,개봉일,매출액,관객수,스크린수
251,반 헬싱,2004-07-30,0,1631359, 43
252,마다가스카3 : 이번엔 서커스다!,2012-06-06,12514939500,1628563,564
253,블랙 스완,2011-02-24,12484096000,1623199,294
254,분노의 질주: 언리미티드,2011-04-20,12292868000,1621973,457
255,마다가스카,2005-07-14,0,1620031, 109
256,닥터 두리틀,2020-01-08,13449206760,1607082,1290
257,스타트렉 다크니스,2013-05-30,12964828000,1605271,607
258,로빈 후드,2010-05-13,11746340129,1596574,555
259,라이프 오브 파이,2013-01-01,15870581500,1593463,392
260,300: 제국의 부활,2014-03-06,13395159700,1593116,720
261,위플래쉬,2015-03-12,12656715045,1589048,436
262,해리포터와 마법사의 돌,2001-12-13,0," 1,585,389",0
263,지구가 멈추는 날,2008-12-24,10395192543,1576333,469
264,적벽대전:거대한 전쟁의 시작,2008-07-10,10218959760,1573621,447
265,미녀삼총사 : 맥시멈 스피드,2003-06-27,0,1566696, 57
266,범블비,2018-12-25,13090949707,1561643,1016
267,듄,2021-10-20,16903293110,1549346,1576
268,사랑과 영혼,1990-11-24,0," 1,532,589",0
269,벼랑 위의 포뇨,2008-12-17,9546895503,1521842,379
270,오블리비언,2013-04-11,11165841500,1515356,634
271,몬스터 호텔 2,2015-12-24,11088271276,1515104,686
272,엑소더스: 신들과 왕들,2014-12-03,12448333926,1511845,865
273,드래곤 길들이기 3,2019-01-30,12340610576,1506942,971
274,인디펜던스 데이 : 리써전스,2016-06-22,12770879840,1500830,926
275,엑스맨 2,2003-04-30,0,1500000, 52
276,토이 스토리 3,2010-08-05,14556420970,1484843,394
277,킹덤 오브 헤븐,2005-05-04,0,1484000, 74
278,나니아 연대기:캐스피언 왕자,2008-05-15,9236952333,1478573,551
279,어스,2019-03-27,12586771104,1475087,1132
280,브레이킹 던 part1,2011-11-30,10713863000,1462280,636
281,브리짓 존스의 일기2 : 열정과 애정,2004-12-08,0,1462000, 55
282,새미의 어드벤쳐 2,2012-08-01,10856204000,1457380,486
283,젠틀맨 리그,2003-08-14,0,1450000, 43
284,나쁜 녀석들 II,2003-08-08,0,1446741, 53
285,위대한 개츠비,2013-05-16,10580582143,1445124,562
286,말레피센트 2,2019-10-17,12191395690,1444952,1108
287,잃어버린 세계를 찾아서,2008-12-17,9339002945,1438353,316
288,다이하드: 굿 데이 투 다이,2013-02-06,10825703000,1438056,459
289,연인,2004-09-10,0,1416000, 66
290,위대한 쇼맨,2017-12-20,11511889500,1402809,702
291,예스맨,2008-12-17,9346501843,1402609,244
292,마이너리티 리포트,2002-07-25,0," 1,401,000", 57
293,벤허,2016-09-14,11410860395,1400301,717
294,말레피센트,2014-05-29,10776965900,1397526,554
295,라스트 에어벤더,2010-08-19,14078896543,1394110,396
296,오션스 써틴,2007-06-14,0,1386610, 82
297,램페이지,2018-04-12,11951980109,1385511,909
298,내셔널 트레져,2004-12-31,0,1384507, 46
299,해피 데스데이,2017-11-08,11004455402,1382650,714
300,반지의 제왕 : 반지원정대,2001-12-31,0," 1,380,734",0
301,폼페이: 최후의 날,2014-02-20,10303127700,1373873,561
302,찰리와 초콜릿 공장,2005-09-16,0,1372700, 41
303,시카고,2003-03-28,0,1371500, 50
304,포드 V 페라리,2019-12-04,12037806920,1367810,986
305,퓨리,2014-11-20,10367640686,1362114,590
306,트와일라잇,2008-12-10,8796916521,1356180,343
307,닌자 어쌔신,2009-11-26,10240398634,1345025,324
308,신들의 전쟁,2011-11-10,11726682000,1338411,525
309,오션스8,2018-06-13,11700157266,1335829,837
310,터미널,2004-08-27,0,1335571, 54
311,굿 다이노,2016-01-07,9763896238,1329664,814
312,드라큘라: 전설의 시작,2014-10-08,10607703908,1321751,477
313,월ㆍE,2008-08-06,8264916667,1320830,347
314,가디언즈 오브 갤럭시,2014-07-31,11098239184,1311190,539
315,월드 인베이젼,2011-03-10,9799358000,1307873,441
316,에이리언: 커버넌트,2017-05-09,10745826264,1307226,841
317,신밧드:7대양의 전설,2003-07-11,0,1305603, 45
318,엑스맨 탄생: 울버린,2009-04-30,8560185022,1303452,403
319,로맨틱 홀리데이,2006-12-14,0,1300645, 71
320,니모를 찾아서,2003-06-05,0,1286412, 43
321,셜록: 유령신부,2016-01-02,9992425049,1278894,891
322,소스 코드,2011-05-04,9640238500,1277690,403
323,라스트 사무라이,2004-01-09,0,1263200, 56
324,마다가스카 2,2009-01-08,7644143364,1247015,381
325,글래디에이터,2000-06-03,0," 1,242,055",0
326,꿀벌대소동,2008-01-03,7371537000,1240953,271
327,나비효과,2004-11-12,0,1239079, 39
328,메리다와 마법의 숲,2012-09-27,9024766000,1231024,479
329,미션 임파서블 2,2000-06-16,0," 1,230,633",0
330,007 노 타임 투 다이,2021-09-29,12009884680,1229971,2201
331,포비든 킹덤: 전설의 마스터를 찾아서,2008-04-24,7876101835,1221352,394
332,토탈 리콜,2012-08-15,8958236000,1219637,448
333,킹 아더,2004-07-23,0,1213584, 44
334,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,14767125516,1209538,335
335,엘리시움,2013-08-29,9017994500,1207732,588
336,몬스터 하우스,2006-08-10,0,1201649, 52
337,신비한 동물들과 덤블도어의 비밀,2022-04-13,12305812580,1195563,2207
338,브루스 올마이티,2003-07-11,0,1182962, 31
339,나니아 연대기: 새벽 출정호의 항해,2010-12-08,11276008290,1182228,502
340,아마겟돈,1998-07-03,0," 1,170,252",0
341,웜 바디스,2013-03-14,8361708124,1169839,477
342,툼레이더 2 : 판도라의 상자,2003-08-01,0,1165906, 46
343,워크래프트: 전쟁의 서막,2016-06-09,10142271205,1163274,736
344,스타트렉 비욘드,2016-08-17,10193232820,1157472,716
345,인크레더블,2004-12-15,0,1155067, 60
346,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,1149628,398
347,"10,000 BC",2008-03-13,7430607499,1140118,359
348,미나리,2021-03-03,10210620050,1133971,1162
349,헝거게임: 캣칭 파이어,2013-11-21,7850816000,1125739,630
350,스파이더맨,2002-05-02,0," 1,125,568", 60
351,슬럼독 밀리어네어,2009-03-19,7468302846,1125032,201
352,클리프 행어,1993-06-12,0," 1,118,583", 5
353,마이펫의 이중생활 2,2019-07-31,8512902825,1114949,933
354,미이라,1999-07-10,0," 1,114,916",0
355,스타 트렉: 더 비기닝,2009-05-07,7425754645,1111865,411
356,라이트 아웃,2016-08-24,8893059975,1111284,659
357,그 여자 작사 그 남자 작곡,2007-02-28,0,1103900, 48
358,박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606,1101678,500
359,007 카지노 로얄,2006-12-21,0,1088307, 76
360,마루 밑 아리에티,2010-09-09,7773942884,1083746,337
361,슈렉,2001-06-30,0," 1,078,886",0
362,퍼시픽 림: 업라이징,2018-03-21,8962712795,1077235,1145
363,가디언즈,2012-11-29,8212243000,1075584,470
364,더 울버린,2013-07-25,7849518000,1075333,707
365,섹스 앤 더 시티,2008-06-05,7133337600,1074321,361
366,몬스터 호텔 3,2018-08-08,7934082800,1072220,715
367,블레이드 3,2004-12-15,0,1069643, 48
368,노잉,2009-04-16,6984051785,1063955,394
369,쥬라기 공원,1993-07-17,0," 1,063,352", 8
370,진주만,2001-05-31,0," 1,061,151",0
371,쥬만지: 넥스트 레벨,2019-12-11,8793014370,1057266,1195
372,빨간모자의 진실,2006-04-06,0,1057223, 36
373,라따뚜이,2007-07-25,0,1054886, 63
374,스텝업 2 : 더 스트리트,2008-03-13,6856702000,1052379,278
375,업,2009-07-29,7652994608,1047327,374
376,슈퍼 배드,2010-09-16,9873975412,1043904,321
377,삼국지:용의 부활,2008-04-03,6660263334,1036172,322
378,이프 온리,2004-10-29,0,1031075, 30
379,킹스맨: 퍼스트 에이전트,2021-12-22,10313351770,1029365,1061
380,지오스톰,2017-10-19,8480864614,1028384,854
381,개구쟁이 스머프,2011-08-11,7722534000,1027438,399
382,에라곤,2007-01-11,0,1022140, 68
383,로그 원: 스타워즈 스토리,2016-12-28,9047995594,1019309,907
384,주온,2003-06-27,0,1016928, 21
385,본 레거시,2012-09-06,7412233000,1015711,585
386,밴티지 포인트,2008-02-28,6654718499,1015287,288
387,향수 : 어느 살인자의 이야기,2007-03-22,0,1011710, 57
388,더 넌,2018-09-19,8777844795,1011580,824
389,라푼젤,2011-02-10,10161464800,1011163,328
390,셔터 아일랜드,2010-03-18,7528114276,1006833,275
391,존 윅 3: 파라벨룸,2019-06-26,8204889876,1004347,849
392,맨 인 더 다크,2016-10-05,8480368672,1003406,671
393,스카이스크래퍼,2018-07-11,8612111718,1002858,831
394,쥬라기 공원 2 - 잃어버린 세계,1997-06-14,0," 1,001,279", 31
395,오스트레일리아,2008-12-10,6471511555,998528,433
396,인크레더블 헐크,2008-06-12,6422773000,992064,360
397,늑대와 춤을,1991-03-31,0," 984,978",
398,게이샤의 추억,2006-02-02,0,983635, 60
399,파퍼씨네 펭귄들,2011-09-07,7049177000,980387,333
400,다이 하드 3,1995-06-10,0," 979,666", 18
401,로보캅,2014-02-13,7299641958,979509,627
402,콘에어,1997-06-28,0," 979,100", 30
403,에픽 : 숲속의 전설,2013-08-07,6748089000,978788,471
404,프로메테우스,2012-06-06,8600146099,971482,521
405,원초적 본능,1992-05-23,0," 970,180",0
406,쿵푸 허슬,2005-01-14,0,963580, 47
407,슈퍼배드 2,2013-09-12,6605668500,962865,421
408,스타워즈: 라스트 제다이,2017-12-14,8666688961,959577,1107
409,잭 더 자이언트 킬러,2013-02-28,7376481000,956154,507
410,미드웨이,2019-12-31,8211133530,955294,842
411,황후화,2007-01-25,0,954387, 65
412,스텝업4 : 레볼루션,2012-08-15,7157894000,953871,281
413,트랜스포터-라스트 미션,2009-01-08,6336730334,951855,266
414,그는 당신에게 반하지 않았다,2009-02-12,6471531867,949324,354
415,미이라2,2001-06-15,0," 948,170",0
416,새미의 어드벤쳐,2010-12-15,8919480155,946615,311
417,미 비포 유,2016-06-01,7662560490,944981,481
418,월터의 상상은 현실이 된다,2013-12-31,6877576799,941672,378
419,크루즈 패밀리,2013-05-16,6540060500,941615,525
420,일본침몰,2006-08-31,0,940560, 53
421,오만과 편견,2006-03-24,0,938874, 55
422,센과 치히로의 행방불명,2002-06-27,0," 937,459", 35
423,애나벨,2014-10-02,7083492943,926027,464
424,킬링필드,1985-06-01,0," 925,994", 1
425,보스 베이비 2,2021-07-21,8292685050,925238,1343
426,샤크,2005-01-07,0,925154, 72
426,뉴월드,2005-11-25,0,925154,0
428,아이스 에이지 2,2006-04-20,0,924050, 71
429,인디펜던스 데이,1996-07-27,0," 923,223",0
430,개구쟁이 스머프 2,2013-08-01,5993979500,921788,478
431,매그니피센트 7,2016-09-14,7633490421,921317,579
432,배트맨 비긴즈,2005-06-24,0,921300, 78
433,라이온 킹,1994-07-02,0," 920,948",0
434,갓 오브 이집트,2016-03-03,7621291624,919834,618
435,터미네이터2 3D,1991-07-06,0," 919,444",
436,주먹왕 랄프,2012-12-19,6590479500,918299,361
437,투어리스트,2010-12-09,6834421095,915359,439
438,더 록,1996-07-13,0," 906,676",0
439,헷지,2006-05-31,0,905983, 50
440,더 배트맨,2022-03-01,9338714700,904156,2370
441,썬더와 마법저택,2013-12-24,6113755500,904145,422
442,월요일이 사라졌다,2018-02-22,7489885100,903175,355
443,취권,1979-09-29,0," 898,561",0
444,매트릭스,1999-05-15,0," 897,882",0
445,타이탄의 분노,2012-03-29,7591124500,893027,535
446,버티컬 리미트,2001-01-13,0," 890,785",0
447,베오울프,2007-11-14,0,890100, 89
448,그것,2017-09-06,7335022607,888836,837
449,몬스터 호텔,2013-01-17,6080221500,884885,489
450,씽2게더,2022-01-05,8189615050,884263,1251
451,아이스 에이지 3: 공룡시대,2009-08-12,6189838667,877398,367
452,메가마인드,2011-01-13,8688175500,875481,414
453,블랙,2009-08-27,6254367609,874913,248
454,트루 라이즈,1994-08-13,0," 874,664",0
455,스피드,1994-06-25,0," 874,225",0
456,디스 민즈 워,2012-02-29,6661435000,873396,351
457,벤허,1972-09-07,0," 873,163", 1
458,스카이 라인,2010-11-24,6414538349,873079,431
459,몬스터 대학교,2013-09-12,5879223500,870605,381
460,1917,2020-02-19,7872002760,870451,932
461,나홀로 집에,1991-07-06,0," 869,820",
462,오리엔트 특급 살인,2017-11-29,6645385163,864757,707
